Package,Command,Timing (sec),
@woocommerce/classic-assets,total,14.76,
@woocommerce/classic-assets,build:project:assets:,14.76,
@woocommerce/internal-js-tests,total,3.48,
@woocommerce/internal-js-tests,build:project:esm:,1.72,
@woocommerce/internal-js-tests,build:project:cjs:,1.76,
@woocommerce/notices,total,3.92,
@woocommerce/notices,build:project:cjs:,1.9,
@woocommerce/notices,build:project:esm:,2.02,
@woocommerce/api,total,5.18,
@woocommerce/api,build:project:typescript:,5.18,
@woocommerce/expression-evaluation,total,3.5,
@woocommerce/expression-evaluation,build:project:esm:,1.72,
@woocommerce/expression-evaluation,build:project:cjs:,1.78,
@woocommerce/number,total,4.36,
@woocommerce/number,build:project:esm:,2.18,
@woocommerce/number,build:project:cjs:,2.18,
@woocommerce/csv-export,total,4.88,
@woocommerce/csv-export,build:project:cjs:,2.42,
@woocommerce/csv-export,build:project:esm:,2.46,
@woocommerce/tracks,total,4.98,
@woocommerce/tracks,build:project:cjs:,2.52,
@woocommerce/tracks,build:project:esm:,2.46,
@woocommerce/ai,total,9.38,
@woocommerce/ai,build:project:cjs:,2.58,
@woocommerce/ai,build:project:esm:,2.62,
@woocommerce/ai,build:project:bundle:,4.18,
@woocommerce/navigation,total,5.5,
@woocommerce/navigation,build:project:esm:,2.74,
@woocommerce/navigation,build:project:cjs:,2.76,
@woocommerce/explat,total,5.64,
@woocommerce/explat,build:project:cjs:,2.74,
@woocommerce/explat,build:project:esm:,2.9,
@woocommerce/date,total,5.92,
@woocommerce/date,build:project:cjs:,2.94,
@woocommerce/date,build:project:esm:,2.98,
@woocommerce/currency,total,4.06,
@woocommerce/currency,build:project:cjs:,2.04,
@woocommerce/currency,build:project:esm:,2.02,
@woocommerce/remote-logging,total,4.1,
@woocommerce/remote-logging,build:project:esm:,2.02,
@woocommerce/remote-logging,build:project:cjs:,2.08,
@woocommerce/block-templates,total,8.04,
@woocommerce/block-templates,build:project:cjs:,2.32,
@woocommerce/block-templates,build:project:esm:,2.42,
@woocommerce/block-templates,build:project:bundle:,3.3,
@woocommerce/data,total,10.66,
@woocommerce/data,build:project:cjs:,5.12,
@woocommerce/data,build:project:esm:,5.54,
@woocommerce/admin-e2e-tests,total,2.68,
@woocommerce/admin-e2e-tests,build:project:typescript:,2.68,
@woocommerce/components,total,34.52,
@woocommerce/components,build:project:bundle:,6.36,
@woocommerce/components,build:project:cjs:,13.88,
@woocommerce/components,build:project:esm:,14.28,
@woocommerce/block-library,total,167.74,
@woocommerce/block-library,build:project:storybook:,67.04,
@woocommerce/block-library,build:project:bundle:,100.7,
@woocommerce/admin-layout,total,10.04,
@woocommerce/admin-layout,build:project:cjs:,3.06,
@woocommerce/admin-layout,build:project:esm:,3.18,
@woocommerce/admin-layout,build:project:bundle:,3.8,
@woocommerce/experimental,total,13.38,
@woocommerce/experimental,build:project:bundle:,4.18,
@woocommerce/experimental,build:project:esm:,4.58,
@woocommerce/experimental,build:project:cjs:,4.62,
@woocommerce/customer-effort-score,total,11.48,
@woocommerce/customer-effort-score,build:project:esm:,3.82,
@woocommerce/customer-effort-score,build:project:cjs:,3.68,
@woocommerce/customer-effort-score,build:project:bundle:,3.98,
@woocommerce/onboarding,total,22.04,
@woocommerce/onboarding,build:project:bundle:,3.92,
@woocommerce/onboarding,build:project:cjs:,8.98,
@woocommerce/onboarding,build:project:esm:,9.14,
@woocommerce/product-editor,total,40.94,
@woocommerce/product-editor,build:project:bundle:,10.66,
@woocommerce/product-editor,build:project:cjs:,14.82,
@woocommerce/product-editor,build:project:esm:,15.46,
@woocommerce/admin-library,total,79.6,
@woocommerce/admin-library,build:project:bundle:,79.6,
@woocommerce/plugin-woocommerce,total,2.3,
@woocommerce/plugin-woocommerce,build:project:copy-assets:legacy:,0.42,
@woocommerce/plugin-woocommerce,build:project:actualize-translation-domains:,0.5,
@woocommerce/plugin-woocommerce,build:project:copy-assets:admin:,0.68,
@woocommerce/plugin-woocommerce,build:project:copy-assets:blocks:,0.7,
