ID;Type;SKU;Name;Published;Is featured?;Visibility in catalog;Short description;Description;Date sale price starts;Date sale price ends;Tax status;Tax class;In stock?;Stock;Backorders allowed?;Sold individually?;Weight (kg);Length (cm);Width (cm);Height (cm);Allow customer reviews?;Purchase note;Sale price;Regular price;Categories;Tags;Shipping class;Images;Download limit;Download expiry days;Parent;Grouped products;Upsells;Cross-sells;External URL;Button text;Attribute 1 name;Attribute 1 value(s);Attribute 1 visible;Attribute 1 global
141;simple;woo-beanie;Beanie;1;0;visible;This is a simple product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;18;20;Accessories;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/beanie.jpg;;;;;;;;;Color;Red;1;1
142;simple;woo-belt;Belt;1;0;visible;This is a simple product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;55;65;Accessories;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/belt.jpg;;;;;;;;;;;;
143;simple;woo-cap;Cap;1;1;visible;This is a simple product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;16;18;Accessories;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/cap.jpg;;;;;;;;;Color;Yellow;1;1
144;simple;woo-sunglasses;Sunglasses;1;1;visible;This is a simple product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;;90;Accessories;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/sunglasses.jpg;;;;;;;;;;;;
145;simple;woo-hoodie-with-logo;Hoodie with Logo;1;0;visible;This is a simple product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;;45;Hoodies;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/hoodie-with-logo.jpg;;;;;;;;;Color;Blue;1;1
146;simple;woo-hoodie-with-pocket;Hoodie with Pocket;1;1;hidden;This is a simple product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;35;45;Hoodies;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/hoodie-with-pocket.jpg;;;;;;;;;Color;Gray;1;1
147;simple;woo-hoodie-with-zipper;Hoodie with Zipper;1;1;visible;This is a simple product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;;45;Hoodies;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/hoodie-with-zipper.jpg;;;;;;;;;;;;
148;variable;woo-hoodie;Hoodie;1;0;visible;This is a variable product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;42;45;Hoodies;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/hoodie.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/placeholder1.png;;;;;;;;;Color;Blue, Green, Red;1;1
149;simple;woo-long-sleeve-tee;Long Sleeve Tee;1;0;visible;This is a simple product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;;25;T-Shirts;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/long-sleeve-tee.jpg;;;;;;;;;Color;Green;1;1
150;simple;woo-polo;Polo;1;0;visible;This is a simple product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;;20;T-Shirts;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/polo.jpg;;;;;;;;;Color;Blue;1;1
