Package,Command,Timing (sec),
@woocommerce/classic-assets,total,14.7,
@woocommerce/classic-assets,build:project:assets:,14.7,
@woocommerce/internal-js-tests,total,3.52,
@woocommerce/internal-js-tests,build:project:cjs:,1.78,
@woocommerce/internal-js-tests,build:project:esm:,1.74,
@woocommerce/notices,total,3.84,
@woocommerce/notices,build:project:cjs:,1.9,
@woocommerce/notices,build:project:esm:,1.94,
@woocommerce/api,total,5.1,
@woocommerce/api,build:project:typescript:,5.1,
@woocommerce/expression-evaluation,total,3.54,
@woocommerce/expression-evaluation,build:project:cjs:,1.8,
@woocommerce/expression-evaluation,build:project:esm:,1.74,
@woocommerce/number,total,4.34,
@woocommerce/number,build:project:cjs:,2.16,
@woocommerce/number,build:project:esm:,2.18,
@woocommerce/csv-export,total,4.74,
@woocommerce/csv-export,build:project:esm:,2.36,
@woocommerce/csv-export,build:project:cjs:,2.38,
@woocommerce/tracks,total,5.1,
@woocommerce/tracks,build:project:esm:,2.58,
@woocommerce/tracks,build:project:cjs:,2.52,
@woocommerce/ai,total,9.08,
@woocommerce/ai,build:project:esm:,2.44,
@woocommerce/ai,build:project:cjs:,2.46,
@woocommerce/ai,build:project:bundle:,4.18,
@woocommerce/navigation,total,5.44,
@woocommerce/navigation,build:project:cjs:,2.7,
@woocommerce/navigation,build:project:esm:,2.74,
@woocommerce/explat,total,5.56,
@woocommerce/explat,build:project:cjs:,2.72,
@woocommerce/explat,build:project:esm:,2.84,
@woocommerce/date,total,5.88,
@woocommerce/date,build:project:esm:,2.98,
@woocommerce/date,build:project:cjs:,2.9,
@woocommerce/currency,total,3.98,
@woocommerce/currency,build:project:cjs:,1.98,
@woocommerce/currency,build:project:esm:,2,
@woocommerce/remote-logging,total,4.1,
@woocommerce/remote-logging,build:project:esm:,2.06,
@woocommerce/remote-logging,build:project:cjs:,2.04,
@woocommerce/block-templates,total,8,
@woocommerce/block-templates,build:project:cjs:,2.36,
@woocommerce/block-templates,build:project:esm:,2.38,
@woocommerce/block-templates,build:project:bundle:,3.26,
@woocommerce/data,total,10.74,
@woocommerce/data,build:project:cjs:,5.14,
@woocommerce/data,build:project:esm:,5.6,
@woocommerce/admin-e2e-tests,total,2.6,
@woocommerce/admin-e2e-tests,build:project:typescript:,2.6,
@woocommerce/components,total,34.2,
@woocommerce/components,build:project:bundle:,6.4,
@woocommerce/components,build:project:cjs:,13.54,
@woocommerce/components,build:project:esm:,14.26,
@woocommerce/block-library,total,165.98,
@woocommerce/block-library,build:project:storybook:,65.84,
@woocommerce/block-library,build:project:bundle:,100.14,
@woocommerce/admin-layout,total,10.04,
@woocommerce/admin-layout,build:project:cjs:,3.1,
@woocommerce/admin-layout,build:project:esm:,3.12,
@woocommerce/admin-layout,build:project:bundle:,3.82,
@woocommerce/experimental,total,13.52,
@woocommerce/experimental,build:project:bundle:,4.18,
@woocommerce/experimental,build:project:esm:,4.68,
@woocommerce/experimental,build:project:cjs:,4.66,
@woocommerce/customer-effort-score,total,11.54,
@woocommerce/customer-effort-score,build:project:esm:,3.76,
@woocommerce/customer-effort-score,build:project:cjs:,3.76,
@woocommerce/customer-effort-score,build:project:bundle:,4.02,
@woocommerce/onboarding,total,20.98,
@woocommerce/onboarding,build:project:bundle:,4.04,
@woocommerce/onboarding,build:project:esm:,8.36,
@woocommerce/onboarding,build:project:cjs:,8.58,
@woocommerce/product-editor,total,40.62,
@woocommerce/product-editor,build:project:bundle:,10.56,
@woocommerce/product-editor,build:project:cjs:,14.66,
@woocommerce/product-editor,build:project:esm:,15.4,
@woocommerce/admin-library,total,79.92,
@woocommerce/admin-library,build:project:bundle:,79.92,
@woocommerce/plugin-woocommerce,total,2.28,
@woocommerce/plugin-woocommerce,build:project:copy-assets:legacy:,0.4,
@woocommerce/plugin-woocommerce,build:project:actualize-translation-domains:,0.5,
@woocommerce/plugin-woocommerce,build:project:copy-assets:admin:,0.68,
@woocommerce/plugin-woocommerce,build:project:copy-assets:blocks:,0.7,
